roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,url,product_id,has_reviews,price_numeric,size_oz,price_per_oz
Seven Coffee Roasters,Sumatra Mandheling Old School,Unspecified,Medium Roast,12oz,$15.27,24,37,64.9,False,False,True,True,"Medium Roast, Sumatra, Available Ground, Single Origin",/products/sumatra-mandheling-old-school,5bd110fd1803e00015bf6fcb,True,15.27,12,1.27
Tonys Coffee,Sumatra,Unspecified,Medium Roast,12oz,$12.59,22,30,73.3,False,False,True,True,"Medium Roast, Sumatra, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",/products/sumatra,5d72ade5105c52001670ad8e,True,12.59,12,1.05
Tonys Coffee,Sumatra,Unspecified,Medium Roast,80oz,$63.00,22,30,73.3,False,False,True,True,"Medium Roast, Sumatra, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",/products/sumatra,5d72ade5105c52001670ad8e,True,63.0,80,0.79
Kuma Coffee Roasters,Classic,Unspecified,Medium Roast,12oz,$20.86,22,29,75.9,False,True,False,False,"Medium Roast, Blend",/products/classic,625e4927abf21300353c7101,True,20.86,12,1.74
Victrola,Triborough Blend,Unspecified,Medium-Dark Roast,12oz,$13.95,21,27,77.8,False,True,False,False,"Medium-Dark Roast, Blend, Espresso",/products/triborough-blend,623e02668b1b81003eae8877,True,13.95,12,1.16
Caffe Vita,Novacella Decaf,Colombia,Medium-Dark Roast,12oz,$16.20,19,22,86.4,True,False,True,True,"Medium-Dark Roast, Colombia, Decaf, Direct Trade, Available Ground, Single Origin",/products/novacella-decaf,5903a648c4916c1100c7461a,True,16.2,12,1.35
Caffe Vita,Novacella Decaf,Colombia,Medium-Dark Roast,80oz,$85.50,19,22,86.4,True,False,True,True,"Medium-Dark Roast, Colombia, Decaf, Direct Trade, Available Ground, Single Origin",/products/novacella-decaf,5903a648c4916c1100c7461a,True,85.5,80,1.07
Blossom Coffee Roasters,Decaf Ethiopia,Ethiopia,Medium Roast,12oz,$19.35,19,22,86.4,True,False,True,True,"Medium Roast, Ethiopia, Decaf, Organic, Available Ground, Single Origin",/products/decaf-ethiopia,5f1fcea49628d40004718e61,True,19.35,12,1.61
Blossom Coffee Roasters,Decaf Ethiopia,Ethiopia,Medium Roast,32oz,$43.20,19,22,86.4,True,False,True,True,"Medium Roast, Ethiopia, Decaf, Organic, Available Ground, Single Origin",/products/decaf-ethiopia,5f1fcea49628d40004718e61,True,43.2,32,1.35
Blossom Coffee Roasters,Decaf Ethiopia,Ethiopia,Medium Roast,80oz,$94.50,19,22,86.4,True,False,True,True,"Medium Roast, Ethiopia, Decaf, Organic, Available Ground, Single Origin",/products/decaf-ethiopia,5f1fcea49628d40004718e61,True,94.5,80,1.18
