roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,has_reviews,price_numeric,size_oz,price_per_oz
Blossom Coffee Roasters,Decaf Ethiopia,Ethiopia,Medium Roast,32oz,$43.20 ,19,22,86.4,TRUE,FALSE,TRUE,TRUE,"Medium Roast, Ethiopia, Decaf, Organic, Available Ground, Single Origin",TRUE,43.2,32,1.35
Blossom Coffee Roasters,Decaf Ethiopia,Ethiopia,Medium Roast,80oz,$94.50 ,19,22,86.4,TRUE,FALSE,TRUE,TRUE,"Medium Roast, Ethiopia, Decaf, Organic, Available Ground, Single Origin",TRUE,94.5,80,1.18
Victrola,Streamline Espresso Blend,Unspecified,Medium Roast,12oz,$13.46 ,17,26,65.4,FALSE,TRUE,FALSE,FALSE,"Medium Roast, Blend, Espresso",TRUE,13.46,12,1.12
Camber Coffee,Goodnight Moon Decaf,Unspecified,Medium Roast,12oz,$17.10 ,16,27,59.3,TRUE,FALSE,TRUE,TRUE,"Medium Roast, Rotating, Decaf, Direct Trade, Available Ground, Single Origin",TRUE,17.1,12,1.43
Camber Coffee,Goodnight Moon Decaf,Unspecified,Medium Roast,32oz,$31.50 ,16,27,59.3,TRUE,FALSE,TRUE,TRUE,"Medium Roast, Rotating, Decaf, Direct Trade, Available Ground, Single Origin",TRUE,31.5,32,0.98
Camber Coffee,Goodnight Moon Decaf,Unspecified,Medium Roast,80oz,$76.50 ,16,27,59.3,TRUE,FALSE,TRUE,TRUE,"Medium Roast, Rotating, Decaf, Direct Trade, Available Ground, Single Origin",TRUE,76.5,80,0.96
Tonys Coffee,Mexico Chiapas,Mexico,Medium Roast,12oz,$16.20 ,15,23,65.2,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Mexico, Fair Trade, Organic, Available Ground, Kosher, Single Origin",TRUE,16.2,12,1.35
Tonys Coffee,Mexico Chiapas,Mexico,Medium Roast,80oz,$74.70 ,15,23,65.2,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Mexico, Fair Trade, Organic, Available Ground, Kosher, Single Origin",TRUE,74.7,80,0.93
Victrola,Empire Blend,Unspecified,Medium Roast,12oz,$13.46 ,15,24,62.5,FALSE,TRUE,FALSE,FALSE,"Medium Roast, Blend",TRUE,13.46,12,1.12
Kuma Coffee Roasters,Bright Blend,Unspecified,Light-Medium Roast,12oz,$20.86 ,15,19,78.9,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend",TRUE,20.86,12,1.74
Seven Coffee Roasters,Pano Hawaiian Blend,Unspecified,Dark Roast,12oz,$17.98 ,14,20,70,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,17.98,12,1.5
Kuma Coffee Roasters,Sun Bear,Unspecified,Light-Medium Roast,12oz,$20.86 ,14,20,70,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend",TRUE,20.86,12,1.74
Caffe Vita,Organic Sumatra Gayo River,Unspecified,Medium-Dark Roast,12oz,$16.20 ,13,29,44.8,FALSE,FALSE,TRUE,TRUE,"Medium-Dark Roast, Sumatra, Organic, Available Ground, Single Origin",TRUE,16.2,12,1.35
Caffe Vita,Organic Sumatra Gayo River,Unspecified,Medium-Dark Roast,80oz,$85.50 ,13,29,44.8,FALSE,FALSE,TRUE,TRUE,"Medium-Dark Roast, Sumatra, Organic, Available Ground, Single Origin",TRUE,85.5,80,1.07
Tonys Coffee,Pacific Decaf,Unspecified,Dark Roast,12oz,$14.39 ,13,21,61.9,TRUE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",TRUE,14.39,12,1.2
Tonys Coffee,Pacific Decaf,Unspecified,Dark Roast,80oz,$67.50 ,13,21,61.9,TRUE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",TRUE,67.5,80,0.84
Seven Coffee Roasters,Roasters Choice,Unspecified,Dark Roast,12oz,$14.37 ,13,25,52,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Espresso, Available Ground",TRUE,14.37,12,1.2
Stamp Act Coffee,"Santiago Atitlan - Oaxaca, Mexico",Mexico,Light-Medium Roast,12oz,$19.80 ,13,16,81.2,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Mexico, Single Origin",TRUE,19.8,12,1.65
Stamp Act Coffee,"Santiago Atitlan - Oaxaca, Mexico",Mexico,Light-Medium Roast,32oz,$44.55 ,13,16,81.2,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Mexico, Single Origin",TRUE,44.55,32,1.39
Stamp Act Coffee,"Santiago Atitlan - Oaxaca, Mexico",Mexico,Light-Medium Roast,80oz,$121.50 ,13,16,81.2,FALSE,FALSE,TRUE,FALSE,"Light-Medium Roast, Mexico, Single Origin",TRUE,121.5,80,1.52
Victrola Coffee Roasters,Big Band Blend,Unspecified,Dark Roast,12oz,$13.46 ,12,18,66.7,FALSE,TRUE,FALSE,FALSE,"Dark  Roast, Blend",TRUE,13.46,12,1.12
Seven Coffee Roasters,Diner Blend,Unspecified,Medium Roast,12oz,$15.27 ,11,19,57.9,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground",TRUE,15.27,12,1.27
Olympia Coffee Roasting Co.,Decaf Asterisk,Colombia,Unspecified,12oz,$19.80 ,10,12,83.3,TRUE,FALSE,TRUE,FALSE,"Rotating Roast, Colombia, Decaf, Fair Trade, Single Origin",TRUE,19.8,12,1.65
Olympia Coffee Roasting Co.,Decaf Asterisk,Colombia,Unspecified,32oz,$50.49 ,10,12,83.3,TRUE,FALSE,TRUE,FALSE,"Rotating Roast, Colombia, Decaf, Fair Trade, Single Origin",TRUE,50.49,32,1.58
Olympia Coffee Roasting Co.,Decaf Asterisk,Colombia,Unspecified,80oz,$120.02 ,10,12,83.3,TRUE,FALSE,TRUE,FALSE,"Rotating Roast, Colombia, Decaf, Fair Trade, Single Origin",TRUE,120.02,80,1.5
Stamp Act Coffee,"Kayon Mountain, Guji Ethiopia - Natural",Ethiopia,Light Roast,12oz,$19.35 ,10,10,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Organic, Single Origin",TRUE,19.35,12,1.61
Stamp Act Coffee,"Kayon Mountain, Guji Ethiopia - Natural",Ethiopia,Light Roast,32oz,$44.10 ,10,10,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Organic, Single Origin",TRUE,44.1,32,1.38
Stamp Act Coffee,"Kayon Mountain, Guji Ethiopia - Natural",Ethiopia,Light Roast,80oz,$111.60 ,10,10,100,FALSE,FALSE,TRUE,FALSE,"Light Roast, Ethiopia, Organic, Single Origin",TRUE,111.6,80,1.4
Caffe Vita,Organic Decaf,Unspecified,Medium-Dark Roast,12oz,$17.10 ,7,10,70,TRUE,FALSE,TRUE,TRUE,"Medium-Dark Roast, Rotating, Decaf, Organic, Available Ground, Single Origin",TRUE,17.1,12,1.43
Caffe Vita,Organic Decaf,Unspecified,Medium-Dark Roast,80oz,$90.00 ,7,10,70,TRUE,FALSE,TRUE,TRUE,"Medium-Dark Roast, Rotating, Decaf, Organic, Available Ground, Single Origin",TRUE,90,80,1.12
Anchorhead Coffee,Decaf Colombia Excelso,Colombia,Medium Roast,10oz,$13.50 ,7,8,87.5,TRUE,FALSE,TRUE,FALSE,"Medium Roast, Colombia, Decaf, Direct Trade, Single Origin",TRUE,13.5,10,1.35
Anchorhead Coffee,Decaf Colombia Excelso,Colombia,Medium Roast,32oz,$36.00 ,7,8,87.5,TRUE,FALSE,TRUE,FALSE,"Medium Roast, Colombia, Decaf, Direct Trade, Single Origin",TRUE,36,32,1.12
